Date,Score,positive,neutral,negative
2020-10-14,-0.019243,15.789474,57.894737,26.315789
2020-10-15,-0.065041,10.526316,73.684211,15.789474
2020-10-16,-0.130348,0,88.571429,11.428571
2020-10-17,-0.005121,10,90,0
2020-10-18,0.158588,33.333333,66.666667,0
2020-10-19,-0.033839,28.571429,50,21.428571
2020-10-20,-0.142868,0,86.666667,13.333333
2020-10-21,-0.178748,0,75,25
2020-10-22,-0.199046,5.555556,66.666667,27.777778
2020-10-23,0.085634,30,50,20
2020-10-24,-0.277203,0,57.142857,42.857143
2020-10-25,-0.009287,0,100,0
2020-10-26,-0.126031,11.764706,58.823529,29.411765
2020-10-27,0.201607,26.666667,73.333333,0
2020-10-28,-0.162901,13.333333,53.333333,33.333333
2020-10-29,-0.023934,20,70,10
